descricaoProduto,ean,principioAtivo,classificacao,nomeSocial,fabricante,detalhes
Losec 10mg 14 Comprimidos Revestidos,4260747720746,Omeprazol Magnésico,Inibidores da Bomba de Prótons,Losec,Biopas Brasil Produtos Farmaceuticos Ltda,"{""ean"":""4260747720746"",""dose"":""10mg 14 Comprimidos Revestidos"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDOS REVESTIDOS"",""via_administracao"":""Oral"",""quantidade"":""14"",""volume"":null,""registro_ms"":""1897700010016"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Omeprazol Magnésico""],""legado"":{""produto_id"":332,""apresentacao_id"":402,""nome_normalizado"":""losec"",""tipo"":""medicamento""}}"
"Systen Conti 3,2mg + 11,2mg 8 Adesivo - 8 Envelopes de Alumínio",5060632508508,"Acetato de Noretisterona, Estradiol Hemi-hidratado",Associações de Estrógenos E Progestógenos,Systen Conti,Farma Vision Importação E Exportação de Medicamentos Ltda,"{""ean"":""5060632508508"",""dose"":""3,2mg + 11,2mg 8 Adesivo - 8 Envelopes de Alumínio"",""unidade"":""mg"",""forma_farmaceutica"":""ADESIVO"",""via_administracao"":""Transdérmica"",""quantidade"":""8"",""volume"":null,""registro_ms"":""1746500030012"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Acetato de Noretisterona"",""Estradiol Hemi-hidratado""],""legado"":{""produto_id"":574,""apresentacao_id"":722,""nome_normalizado"":""systen conti"",""tipo"":""medicamento""}}"
Azelan 200mg/g Creme 30 G,5702191025521,Ácido Azelaico,Antiacneicos Tópicos,Azelan,LEO Pharma Ltda,"{""ean"":""5702191025521"",""dose"":""200mg/g Creme 30 G"",""unidade"":""mg"",""forma_farmaceutica"":""CREME"",""via_administracao"":""Dermatológica"",""quantidade"":null,""volume"":null,""registro_ms"":""1856900120020"",""tarja"":""VENDA LIVRE"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Ácido Azelaico""],""legado"":{""produto_id"":384,""apresentacao_id"":476,""nome_normalizado"":""azelan"",""tipo"":""medicamento""}}"
Advantan 1mg/g Creme 15 G,5702191025583,Aceponato de Metilprednisolona,Corticoesteróides Tópicos Puros,Advantan,LEO Pharma Ltda,"{""ean"":""5702191025583"",""dose"":""1mg/g Creme 15 G"",""unidade"":""mg"",""forma_farmaceutica"":""CREME"",""via_administracao"":""Dermatológica"",""quantidade"":null,""volume"":null,""registro_ms"":""1856900100011"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Aceponato de Metilprednisolona""],""legado"":{""produto_id"":509,""apresentacao_id"":636,""nome_normalizado"":""advantan"",""tipo"":""medicamento""}}"
Icaden 10mg/g Creme 20 G,5702191025620,Nitrato de Isoconazol,Antifúngicos Dermatológicos Tópicos,Icaden,LEO Pharma Ltda,"{""ean"":""5702191025620"",""dose"":""10mg/g Creme 20 G"",""unidade"":""mg"",""forma_farmaceutica"":""CREME"",""via_administracao"":""Dermatológica"",""quantidade"":null,""volume"":null,""registro_ms"":""1856900080061"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Nitrato de Isoconazol""],""legado"":{""produto_id"":349,""apresentacao_id"":426,""nome_normalizado"":""icaden"",""tipo"":""medicamento""}}"
"Xarope 44E 1,30mg/ml + 13,30mg/ml Xarope",7590002023228,"Bromidrato de Dextrometorfano, Guaifenesina",Antitussígenos Associados,Xarope 44E,Procter & Gamble do Brasil Ltda,"{""ean"":""7590002023228"",""dose"":""1,30mg/ml + 13,30mg/ml Xarope"",""unidade"":""mg"",""forma_farmaceutica"":""XAROPE"",""via_administracao"":null,""quantidade"":null,""volume"":null,""registro_ms"":""1214200040020"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Bromidrato de Dextrometorfano"",""Guaifenesina""],""legado"":{""produto_id"":378,""apresentacao_id"":470,""nome_normalizado"":""xarope 44e"",""tipo"":""medicamento""}}"
Imosec 2MG 12 Comprimidos,7891010256364,Cloridrato de Loperamida,Inibidores da Motilidade,Imosec,Johnson & Johnson Industrial Ltda.,"{""ean"":""7891010256364"",""dose"":""2MG 12 Comprimidos"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDOS"",""via_administracao"":""Oral"",""quantidade"":""12"",""volume"":null,""registro_ms"":""1572112110031"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Cloridrato de Loperamida""],""legado"":{""produto_id"":90,""apresentacao_id"":104,""nome_normalizado"":""imosec"",""tipo"":""medicamento""}}"
Motilium 10mg 30 Comprimidos,7891010256388,Domperidona,Gastroprocinéticos,Motilium,Johnson & Johnson Industrial Ltda.,"{""ean"":""7891010256388"",""dose"":""10mg 30 Comprimidos"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDOS"",""via_administracao"":""Oral"",""quantidade"":""30"",""volume"":null,""registro_ms"":""1572112130059"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Domperidona""],""legado"":{""produto_id"":194,""apresentacao_id"":233,""nome_normalizado"":""motilium"",""tipo"":""medicamento""}}"
Mylanta Plus 80mg/ml + 80mg/ml + 6mg/ml Suspensão,7891010256425,"Hidróxido de Alumínio, Hidróxido de Magnésio, Simeticona",Antiácidos COM Antiflatulentos ou Carminativos,Mylanta Plus,Johnson & Johnson Industrial Ltda.,"{""ean"":""7891010256425"",""dose"":""80mg/ml + 80mg/ml + 6mg/ml Suspensão"",""unidade"":""mg"",""forma_farmaceutica"":""SUSPENSÃO"",""via_administracao"":""Oral"",""quantidade"":null,""volume"":null,""registro_ms"":""1572112150041"",""tarja"":""VENDA LIVRE"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Hidróxido de Alumínio"",""Hidróxido de Magnésio"",""Simeticona""],""legado"":{""produto_id"":145,""apresentacao_id"":175,""nome_normalizado"":""mylanta plus"",""tipo"":""medicamento""}}"
Mylanta Plus 80mg/ml + 80mg/ml + 6mg/ml Suspensão,7891010256432,"Hidróxido de Alumínio, Hidróxido de Magnésio, Simeticona",Antiácidos COM Antiflatulentos ou Carminativos,Mylanta Plus,Johnson & Johnson Industrial Ltda.,"{""ean"":""7891010256432"",""dose"":""80mg/ml + 80mg/ml + 6mg/ml Suspensão"",""unidade"":""mg"",""forma_farmaceutica"":""SUSPENSÃO"",""via_administracao"":""Oral"",""quantidade"":null,""volume"":null,""registro_ms"":""1572112150106"",""tarja"":""VENDA LIVRE"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Hidróxido de Alumínio"",""Hidróxido de Magnésio"",""Simeticona""],""legado"":{""produto_id"":145,""apresentacao_id"":642,""nome_normalizado"":""mylanta plus"",""tipo"":""medicamento""}}"
"Nordette (0,15 + 0,03)mg 21 Comprimidos Revestidos",7891045008433,"Etinilestradiol, Levonorgestrel",Hormônios Contraceptivos Monofásicos COM Estrogênios <50mcg,Nordette,Wyeth Indústria Farmacêutica Ltda,"{""ean"":""7891045008433"",""dose"":""(0,15 + 0,03)mg 21 Comprimidos Revestidos"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDOS REVESTIDOS"",""via_administracao"":""Oral"",""quantidade"":""21"",""volume"":null,""registro_ms"":""1211000010037"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Etinilestradiol"",""Levonorgestrel""],""legado"":{""produto_id"":120,""apresentacao_id"":143,""nome_normalizado"":""nordette"",""tipo"":""medicamento""}}"
Novalgina 500mg/ml Solução 20 ml,7891058000165,Dipirona Monoidratada,Analgésicos NÃO Narcóticos E Antipiréticos Isentos de Prescrição,Novalgina,Sanofi Medley Farmacêutica Ltda.,"{""ean"":""7891058000165"",""dose"":""500mg/ml Solução 20 ml"",""unidade"":""mg"",""forma_farmaceutica"":""SOLUÇÃO"",""via_administracao"":""Oral"",""quantidade"":null,""volume"":null,""registro_ms"":""1832603510099"",""tarja"":""VENDA LIVRE"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Dipirona Monoidratada""],""legado"":{""produto_id"":109,""apresentacao_id"":131,""nome_normalizado"":""novalgina"",""tipo"":""medicamento""}}"
Novalgina 500mg/ml Solução 10 ml,7891058000172,Dipirona Monoidratada,Analgésicos NÃO Narcóticos E Antipiréticos Isentos de Prescrição,Novalgina,Sanofi Medley Farmacêutica Ltda.,"{""ean"":""7891058000172"",""dose"":""500mg/ml Solução 10 ml"",""unidade"":""mg"",""forma_farmaceutica"":""SOLUÇÃO"",""via_administracao"":""Oral"",""quantidade"":null,""volume"":null,""registro_ms"":""1832603510102"",""tarja"":""VENDA LIVRE"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Dipirona Monoidratada""],""legado"":{""produto_id"":109,""apresentacao_id"":130,""nome_normalizado"":""novalgina"",""tipo"":""medicamento""}}"
Cloridrato de Amiodarona 100mg 30 Comprimidos,7891058001667,Cloridrato de Amiodarona,Antiarrítmicos Cardíacos,Cloridrato de Amiodarona,Sanofi Medley Farmacêutica Ltda.,"{""ean"":""7891058001667"",""dose"":""100mg 30 Comprimidos"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDOS"",""via_administracao"":""Oral"",""quantidade"":""30"",""volume"":null,""registro_ms"":""1832602940030"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Cloridrato de Amiodarona""],""legado"":{""produto_id"":1135,""apresentacao_id"":1458,""nome_normalizado"":""cloridrato de amiodarona"",""tipo"":""medicamento""}}"
Cloridrato de Amiodarona 200mg 30 Comprimidos,7891058001681,Cloridrato de Amiodarona,Antiarrítmicos Cardíacos,Cloridrato de Amiodarona,Sanofi Medley Farmacêutica Ltda.,"{""ean"":""7891058001681"",""dose"":""200mg 30 Comprimidos"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDOS"",""via_administracao"":""Oral"",""quantidade"":""30"",""volume"":null,""registro_ms"":""1832602940049"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Cloridrato de Amiodarona""],""legado"":{""produto_id"":1135,""apresentacao_id"":1460,""nome_normalizado"":""cloridrato de amiodarona"",""tipo"":""medicamento""}}"
Profenid 20mg/ml Solução 20 ml + Conta-gotas,7891058002008,Cetoprofeno,Antirreumáticos NÃO Esteroidais Puros,Profenid,Sanofi Medley Farmacêutica Ltda.,"{""ean"":""7891058002008"",""dose"":""20mg/ml Solução 20 ml + Conta-gotas"",""unidade"":""mg"",""forma_farmaceutica"":""SOLUÇÃO"",""via_administracao"":""Oral"",""quantidade"":null,""volume"":null,""registro_ms"":""1832603600063"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Cetoprofeno""],""legado"":{""produto_id"":128,""apresentacao_id"":401,""nome_normalizado"":""profenid"",""tipo"":""medicamento""}}"
Anador 1G 10 Comprimidos,7891058003890,Dipirona Monoidratada,Analgésicos NÃO Narcóticos E Antipiréticos Isentos de Prescrição,Anador,Opella Healthcare Brazil Ltda,"{""ean"":""7891058003890"",""dose"":""1G 10 Comprimidos"",""unidade"":""g"",""forma_farmaceutica"":""COMPRIMIDOS"",""via_administracao"":""Oral"",""quantidade"":""10"",""volume"":null,""registro_ms"":""1862000060654"",""tarja"":""VENDA LIVRE"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Dipirona Monoidratada""],""legado"":{""produto_id"":235,""apresentacao_id"":1525,""nome_normalizado"":""anador"",""tipo"":""medicamento""}}"
Allegra 6mg/ml Suspensão 60 ml + Seringa Dosadora,7891058004347,Cloridrato de Fexofenadina,Anti-histamínicos Sistêmicos,Allegra,Opella Healthcare Brazil Ltda,"{""ean"":""7891058004347"",""dose"":""6mg/ml Suspensão 60 ml + Seringa Dosadora"",""unidade"":""mg"",""forma_farmaceutica"":""SUSPENSÃO"",""via_administracao"":""Oral"",""quantidade"":null,""volume"":null,""registro_ms"":""1862000100028"",""tarja"":""VENDA LIVRE"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Cloridrato de Fexofenadina""],""legado"":{""produto_id"":386,""apresentacao_id"":1365,""nome_normalizado"":""allegra"",""tipo"":""medicamento""}}"
Allegra 6mg/ml Suspensão 150 ml + Seringa Dosadora,7891058004354,Cloridrato de Fexofenadina,Anti-histamínicos Sistêmicos,Allegra,Opella Healthcare Brazil Ltda,"{""ean"":""7891058004354"",""dose"":""6mg/ml Suspensão 150 ml + Seringa Dosadora"",""unidade"":""mg"",""forma_farmaceutica"":""SUSPENSÃO"",""via_administracao"":""Oral"",""quantidade"":null,""volume"":null,""registro_ms"":""1862000100044"",""tarja"":""VENDA LIVRE"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Cloridrato de Fexofenadina""],""legado"":{""produto_id"":386,""apresentacao_id"":1364,""nome_normalizado"":""allegra"",""tipo"":""medicamento""}}"
Novalgina 50mg/ml Solução 100 ml + Copo Dosador,7891058005566,Dipirona Monoidratada,Analgésicos NÃO Narcóticos E Antipiréticos Isentos de Prescrição,Novalgina,Sanofi Medley Farmacêutica Ltda.,"{""ean"":""7891058005566"",""dose"":""50mg/ml Solução 100 ml + Copo Dosador"",""unidade"":""mg"",""forma_farmaceutica"":""SOLUÇÃO"",""via_administracao"":""Oral"",""quantidade"":null,""volume"":null,""registro_ms"":""1832603510048"",""tarja"":""VENDA LIVRE"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Dipirona Monoidratada""],""legado"":{""produto_id"":109,""apresentacao_id"":129,""nome_normalizado"":""novalgina"",""tipo"":""medicamento""}}"
"Allegra D (60,0 + 120,0)mg 10 Comprimidos Revestidos de Liberação Prolongada",7891058006716,"Cloridrato de Fexofenadina, Cloridrato de Pseudoefedrina",Preparações Sistêmicas Nasais,Allegra D,Opella Healthcare Brazil Ltda,"{""ean"":""7891058006716"",""dose"":""(60,0 + 120,0)mg 10 Comprimidos Revestidos de Liberação Prolongada"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDOS REVESTIDOS DE LIBERAÇÃO PROLONGADA"",""via_administracao"":""Oral"",""quantidade"":""10"",""volume"":null,""registro_ms"":""1862000010053"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Cloridrato de Fexofenadina"",""Cloridrato de Pseudoefedrina""],""legado"":{""produto_id"":508,""apresentacao_id"":634,""nome_normalizado"":""allegra d"",""tipo"":""medicamento""}}"
Dorflex 35mg/ml + 300mg/ml + 50mg/ml Solução,7891058009458,"Cafeína Anidra, Citrato de Orfenadrina, Dipirona Monoidratada",Relaxante Muscular de Ação Central,Dorflex,Opella Healthcare Brazil Ltda,"{""ean"":""7891058009458"",""dose"":""35mg/ml + 300mg/ml + 50mg/ml Solução"",""unidade"":""mg"",""forma_farmaceutica"":""SOLUÇÃO"",""via_administracao"":""Oral"",""quantidade"":null,""volume"":null,""registro_ms"":""1862000080051"",""tarja"":""VENDA LIVRE"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Cafeína Anidra"",""Citrato de Orfenadrina"",""Dipirona Monoidratada""],""legado"":{""produto_id"":479,""apresentacao_id"":701,""nome_normalizado"":""dorflex"",""tipo"":""medicamento""}}"
Dorflex 300mg + 35mg + 50mg 300 Comprimidos,7891058017392,"Cafeína Anidra, Citrato de Orfenadrina, Dipirona Monoidratada",Relaxante Muscular de Ação Central,Dorflex,Opella Healthcare Brazil Ltda,"{""ean"":""7891058017392"",""dose"":""300mg + 35mg + 50mg 300 Comprimidos"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDOS"",""via_administracao"":""Oral"",""quantidade"":""300"",""volume"":null,""registro_ms"":""1862000080140"",""tarja"":""VENDA LIVRE"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Cafeína Anidra"",""Citrato de Orfenadrina"",""Dipirona Monoidratada""],""legado"":{""produto_id"":479,""apresentacao_id"":600,""nome_normalizado"":""dorflex"",""tipo"":""medicamento""}}"
"Colírio Moura Brasil 0,15mg/ml + 0,3mg/ml Solução + Conta-gotas",7891058020316,"Cloridrato de Nafazolina, Sulfato de Zinco Heptaidratado","Descongestionantes Oftalmológicos, Simpaticomiméticos",Colírio Moura Brasil,Opella Healthcare Brazil Ltda,"{""ean"":""7891058020316"",""dose"":""0,15mg/ml + 0,3mg/ml Solução + Conta-gotas"",""unidade"":""mg"",""forma_farmaceutica"":""SOLUÇÃO"",""via_administracao"":""Oftálmica"",""quantidade"":null,""volume"":null,""registro_ms"":""1862000020016"",""tarja"":""VENDA LIVRE"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Cloridrato de Nafazolina"",""Sulfato de Zinco Heptaidratado""],""legado"":{""produto_id"":105,""apresentacao_id"":124,""nome_normalizado"":""colirio moura brasil"",""tipo"":""medicamento""}}"
Dulcolax 5MG 20 Comprimidos Revestidos de Liberação Retardada,7891058021528,Bisacodil,Laxantes Estimulantes,Dulcolax,Opella Healthcare Brazil Ltda,"{""ean"":""7891058021528"",""dose"":""5MG 20 Comprimidos Revestidos de Liberação Retardada"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDOS REVESTIDOS DE LIBERAÇÃO RETARDADA"",""via_administracao"":""Oral"",""quantidade"":""20"",""volume"":null,""registro_ms"":""1862000200103"",""tarja"":""VENDA LIVRE"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Bisacodil""],""legado"":{""produto_id"":57,""apresentacao_id"":69,""nome_normalizado"":""dulcolax"",""tipo"":""medicamento""}}"
Mucosolvan 6mg/ml Xarope 120 ml,7891058021566,Cloridrato de Ambroxol,Expectorantes,Mucosolvan,Sanofi Medley Farmacêutica Ltda.,"{""ean"":""7891058021566"",""dose"":""6mg/ml Xarope 120 ml"",""unidade"":""mg"",""forma_farmaceutica"":""XAROPE"",""via_administracao"":null,""quantidade"":null,""volume"":null,""registro_ms"":""1832603570024"",""tarja"":""VENDA LIVRE"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Cloridrato de Ambroxol""],""legado"":{""produto_id"":99,""apresentacao_id"":123,""nome_normalizado"":""mucosolvan"",""tipo"":""medicamento""}}"
"Mucosolvan 3,0mg/ml Xarope 120 ml",7891058021573,Cloridrato de Ambroxol,Expectorantes,Mucosolvan,Sanofi Medley Farmacêutica Ltda.,"{""ean"":""7891058021573"",""dose"":""3,0mg/ml Xarope 120 ml"",""unidade"":""mg"",""forma_farmaceutica"":""XAROPE"",""via_administracao"":null,""quantidade"":null,""volume"":null,""registro_ms"":""1832603570016"",""tarja"":""VENDA LIVRE"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Cloridrato de Ambroxol""],""legado"":{""produto_id"":99,""apresentacao_id"":117,""nome_normalizado"":""mucosolvan"",""tipo"":""medicamento""}}"
Anador 500mg/ml Solução 20 ml,7891058021580,Dipirona Monoidratada,Analgésicos NÃO Narcóticos E Antipiréticos Isentos de Prescrição,Anador,Opella Healthcare Brazil Ltda,"{""ean"":""7891058021580"",""dose"":""500mg/ml Solução 20 ml"",""unidade"":""mg"",""forma_farmaceutica"":""SOLUÇÃO"",""via_administracao"":""Oral"",""quantidade"":null,""volume"":null,""registro_ms"":""1862000060093"",""tarja"":""VENDA LIVRE"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Dipirona Monoidratada""],""legado"":{""produto_id"":235,""apresentacao_id"":290,""nome_normalizado"":""anador"",""tipo"":""medicamento""}}"
Anador 500mg 512 Comprimidos,7891058021603,Dipirona Monoidratada,Analgésicos NÃO Narcóticos E Antipiréticos Isentos de Prescrição,Anador,Opella Healthcare Brazil Ltda,"{""ean"":""7891058021603"",""dose"":""500mg 512 Comprimidos"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDOS"",""via_administracao"":""Oral"",""quantidade"":""512"",""volume"":null,""registro_ms"":""1862000060808"",""tarja"":""VENDA LIVRE"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Dipirona Monoidratada""],""legado"":{""produto_id"":235,""apresentacao_id"":289,""nome_normalizado"":""anador"",""tipo"":""medicamento""}}"
"Bisolvon 1,6mg/ml Xarope 120 ml",7891058021610,Cloridrato de Bromexina,Expectorantes,Bisolvon,Opella Healthcare Brazil Ltda,"{""ean"":""7891058021610"",""dose"":""1,6mg/ml Xarope 120 ml"",""unidade"":""mg"",""forma_farmaceutica"":""XAROPE"",""via_administracao"":null,""quantidade"":null,""volume"":null,""registro_ms"":""1862000040068"",""tarja"":""VENDA LIVRE"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Cloridrato de Bromexina""],""legado"":{""produto_id"":463,""apresentacao_id"":580,""nome_normalizado"":""bisolvon"",""tipo"":""medicamento""}}"
"Bisolvon 0,8mg/ml Xarope 120 ml",7891058021627,Cloridrato de Bromexina,Expectorantes,Bisolvon,Opella Healthcare Brazil Ltda,"{""ean"":""7891058021627"",""dose"":""0,8mg/ml Xarope 120 ml"",""unidade"":""mg"",""forma_farmaceutica"":""XAROPE"",""via_administracao"":null,""quantidade"":null,""volume"":null,""registro_ms"":""1862000040025"",""tarja"":""VENDA LIVRE"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Cloridrato de Bromexina""],""legado"":{""produto_id"":463,""apresentacao_id"":597,""nome_normalizado"":""bisolvon"",""tipo"":""medicamento""}}"
Allenasal 550mcg/ml Suspensão 16.5 ml,7891058022778,Acetonida de Triancinolona,Corticosteróides Nasais SEM Antiinfecciosos,Allenasal,Opella Healthcare Brazil Ltda,"{""ean"":""7891058022778"",""dose"":""550mcg/ml Suspensão 16.5 ml"",""unidade"":""mcg"",""forma_farmaceutica"":""SUSPENSÃO"",""via_administracao"":""Nasal"",""quantidade"":null,""volume"":null,""registro_ms"":""1862000130016"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Acetonida de Triancinolona""],""legado"":{""produto_id"":1084,""apresentacao_id"":1366,""nome_normalizado"":""allenasal"",""tipo"":""medicamento""}}"
Allegra 60mg 10 Comprimidos Revestidos,7891058024314,Cloridrato de Fexofenadina,Anti-histamínicos Sistêmicos,Allegra,Opella Healthcare Brazil Ltda,"{""ean"":""7891058024314"",""dose"":""60mg 10 Comprimidos Revestidos"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDOS REVESTIDOS"",""via_administracao"":""Oral"",""quantidade"":""10"",""volume"":null,""registro_ms"":""1862000100052"",""tarja"":""VENDA LIVRE"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Cloridrato de Fexofenadina""],""legado"":{""produto_id"":386,""apresentacao_id"":1363,""nome_normalizado"":""allegra"",""tipo"":""medicamento""}}"
Plasil 10mg 20 Comprimidos,7891058059149,Cloridrato de Metoclopramida Monoidratado,Gastroprocinéticos,Plasil,Sanofi Medley Farmacêutica Ltda.,"{""ean"":""7891058059149"",""dose"":""10mg 20 Comprimidos"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDOS"",""via_administracao"":""Oral"",""quantidade"":""20"",""volume"":null,""registro_ms"":""1832603180013"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Cloridrato de Metoclopramida Monoidratado""],""legado"":{""produto_id"":126,""apresentacao_id"":149,""nome_normalizado"":""plasil"",""tipo"":""medicamento""}}"
Rifocina Spray 10mg/ml Solução 20 ml,7891058061562,Rifamicina sv Sódica,Antibióticos Tópicos,Rifocina Spray,Sanofi Medley Farmacêutica Ltda.,"{""ean"":""7891058061562"",""dose"":""10mg/ml Solução 20 ml"",""unidade"":""mg"",""forma_farmaceutica"":""SOLUÇÃO"",""via_administracao"":null,""quantidade"":null,""volume"":null,""registro_ms"":""1832604060011"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Rifamicina sv Sódica""],""legado"":{""produto_id"":143,""apresentacao_id"":173,""nome_normalizado"":""rifocina spray"",""tipo"":""medicamento""}}"
Allegra 120mg 10 Comprimidos Revestidos,7891058168049,Cloridrato de Fexofenadina,Anti-histamínicos Sistêmicos,Allegra,Opella Healthcare Brazil Ltda,"{""ean"":""7891058168049"",""dose"":""120mg 10 Comprimidos Revestidos"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDOS REVESTIDOS"",""via_administracao"":""Oral"",""quantidade"":""10"",""volume"":null,""registro_ms"":""1862000100095"",""tarja"":""VENDA LIVRE"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Cloridrato de Fexofenadina""],""legado"":{""produto_id"":386,""apresentacao_id"":478,""nome_normalizado"":""allegra"",""tipo"":""medicamento""}}"
Allegra 180mg 10 Comprimidos Revestidos,7891058169015,Cloridrato de Fexofenadina,Anti-histamínicos Sistêmicos,Allegra,Opella Healthcare Brazil Ltda,"{""ean"":""7891058169015"",""dose"":""180mg 10 Comprimidos Revestidos"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDOS REVESTIDOS"",""via_administracao"":""Oral"",""quantidade"":""10"",""volume"":null,""registro_ms"":""1862000100133"",""tarja"":""VENDA LIVRE"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Cloridrato de Fexofenadina""],""legado"":{""produto_id"":386,""apresentacao_id"":601,""nome_normalizado"":""allegra"",""tipo"":""medicamento""}}"
Daonil 5MG 30 Comprimidos,7891058212070,Glibenclamida,Antidiabéticos Sulfonilouréias Puros,Daonil,Sanofi Medley Farmacêutica Ltda.,"{""ean"":""7891058212070"",""dose"":""5MG 30 Comprimidos"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDOS"",""via_administracao"":""Oral"",""quantidade"":""30"",""volume"":null,""registro_ms"":""1832604330019"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Glibenclamida""],""legado"":{""produto_id"":58,""apresentacao_id"":70,""nome_normalizado"":""daonil"",""tipo"":""medicamento""}}"
"Esperson 2,5mg/g Pomada 20 G",7891058263096,Desoximetasona,Corticoesteróides Tópicos Puros,Esperson,Sanofi Medley Farmacêutica Ltda.,"{""ean"":""7891058263096"",""dose"":""2,5mg/g Pomada 20 G"",""unidade"":""mg"",""forma_farmaceutica"":""POMADA"",""via_administracao"":""Dermatológica"",""quantidade"":null,""volume"":null,""registro_ms"":""1832603750022"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Desoximetasona""],""legado"":{""produto_id"":69,""apresentacao_id"":81,""nome_normalizado"":""esperson"",""tipo"":""medicamento""}}"
