descricaoProduto,ean,principioAtivo,classificacao,nomeSocial,fabricante,detalhes
"Glyteol 13,333mg/ml Xarope 100 ml + Copo Dosador",7896331702835,Guaifenesina,Expectorantes,Glyteol,Kley Hertz Farmaceutica S.A,"{""ean"":""7896331702835"",""dose"":""13,333mg/ml Xarope 100 ml + Copo Dosador"",""unidade"":""mg"",""forma_farmaceutica"":""XAROPE"",""via_administracao"":null,""quantidade"":null,""volume"":null,""registro_ms"":""1068901590015"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Guaifenesina""],""legado"":{""produto_id"":188,""apresentacao_id"":225,""nome_normalizado"":""glyteol"",""tipo"":""medicamento""}}"
"Bactoderm 5,0mg/g + 250ui/g Pomada",7896331703221,"Bacitracina, Sulfato de Neomicina",Antibióticos Tópicos,Bactoderm,Kley Hertz Farmaceutica S.A,"{""ean"":""7896331703221"",""dose"":""5,0mg/g + 250ui/g Pomada"",""unidade"":""mg"",""forma_farmaceutica"":""POMADA"",""via_administracao"":""Dermatológica"",""quantidade"":null,""volume"":null,""registro_ms"":""1068900050025"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Bacitracina"",""Sulfato de Neomicina""],""legado"":{""produto_id"":459,""apresentacao_id"":575,""nome_normalizado"":""bactoderm"",""tipo"":""medicamento""}}"
Castanha da Índia Atalaia 100mg 30 Comprimidos Revestidos,7896372505006,Aesculus Hippocastanum l.,Vasoprotetores Sistêmicos,Castanha da Índia Atalaia,Farmabraz Beta Atalaia Farmaceutica Ltda,"{""ean"":""7896372505006"",""dose"":""100mg 30 Comprimidos Revestidos"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDOS REVESTIDOS"",""via_administracao"":""Oral"",""quantidade"":""30"",""volume"":null,""registro_ms"":""1034200510010"",""tarja"":""VENDA LIVRE"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Aesculus Hippocastanum l.""],""legado"":{""produto_id"":394,""apresentacao_id"":487,""nome_normalizado"":""castanha da india atalaia"",""tipo"":""medicamento""}}"
Claritromicina 500mg 14 Comprimidos Revestidos,7896422503617,Claritromicina,Macrolideos E Similares,Claritromicina,Sanofi Medley Farmacêutica Ltda.,"{""ean"":""7896422503617"",""dose"":""500mg 14 Comprimidos Revestidos"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDOS REVESTIDOS"",""via_administracao"":""Oral"",""quantidade"":""14"",""volume"":null,""registro_ms"":""1832600250029"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Claritromicina""],""legado"":{""produto_id"":536,""apresentacao_id"":670,""nome_normalizado"":""claritromicina"",""tipo"":""medicamento""}}"
"Propionato de Clobetasol 0,5mg/g Creme 30 G",7896422505369,Propionato de Clobetasol,Corticoesteróides Tópicos Puros,Propionato de Clobetasol,Sanofi Medley Farmacêutica Ltda.,"{""ean"":""7896422505369"",""dose"":""0,5mg/g Creme 30 G"",""unidade"":""mg"",""forma_farmaceutica"":""CREME"",""via_administracao"":""Dermatológica"",""quantidade"":null,""volume"":null,""registro_ms"":""1832600040016"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Propionato de Clobetasol""],""legado"":{""produto_id"":705,""apresentacao_id"":871,""nome_normalizado"":""propionato de clobetasol"",""tipo"":""medicamento""}}"
Aciclovir 50mg/g Creme 10 G,7896422505741,Aciclovir,Antivirais Oftalmológicos,Aciclovir,Pharlab Indústria Farmacêutica S.a.,"{""ean"":""7896422505741"",""dose"":""50mg/g Creme 10 G"",""unidade"":""mg"",""forma_farmaceutica"":""CREME"",""via_administracao"":""Dermatológica"",""quantidade"":null,""volume"":null,""registro_ms"":""1832601600015"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Aciclovir""],""legado"":{""produto_id"":703,""apresentacao_id"":1065,""nome_normalizado"":""aciclovir"",""tipo"":""medicamento""}}"
Cloridrato de Sertralina 50mg 30 Comprimidos Revestidos,7896422506304,Cloridrato de Sertralina,Antidepressivos Ssri,Cloridrato de Sertralina,Sanofi Medley Farmacêutica Ltda.,"{""ean"":""7896422506304"",""dose"":""50mg 30 Comprimidos Revestidos"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDOS REVESTIDOS"",""via_administracao"":""Oral"",""quantidade"":""30"",""volume"":null,""registro_ms"":""1832601290024"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Cloridrato de Sertralina""],""legado"":{""produto_id"":640,""apresentacao_id"":800,""nome_normalizado"":""cloridrato de sertralina"",""tipo"":""medicamento""}}"
Atenolol 50mg 30 Comprimidos,7896422506359,Atenolol,Betabloqueadores Puros,Atenolol,EMS S/A,"{""ean"":""7896422506359"",""dose"":""50mg 30 Comprimidos"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDOS"",""via_administracao"":""Oral"",""quantidade"":""30"",""volume"":null,""registro_ms"":""1832601360030"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Atenolol""],""legado"":{""produto_id"":317,""apresentacao_id"":437,""nome_normalizado"":""atenolol"",""tipo"":""medicamento""}}"
Lisinopril 5MG 30 Comprimidos,7896422506731,Lisinopril,Inibidores da ECA Puros,Lisinopril,Sanofi Medley Farmacêutica Ltda.,"{""ean"":""7896422506731"",""dose"":""5MG 30 Comprimidos"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDOS"",""via_administracao"":""Oral"",""quantidade"":""30"",""volume"":null,""registro_ms"":""1832601980020"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Lisinopril""],""legado"":{""produto_id"":641,""apresentacao_id"":845,""nome_normalizado"":""lisinopril"",""tipo"":""medicamento""}}"
Lisinopril 10mg 30 Comprimidos,7896422506755,Lisinopril,Inibidores da ECA Puros,Lisinopril,Sanofi Medley Farmacêutica Ltda.,"{""ean"":""7896422506755"",""dose"":""10mg 30 Comprimidos"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDOS"",""via_administracao"":""Oral"",""quantidade"":""30"",""volume"":null,""registro_ms"":""1832601980081"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Lisinopril""],""legado"":{""produto_id"":641,""apresentacao_id"":802,""nome_normalizado"":""lisinopril"",""tipo"":""medicamento""}}"
Diclofenaco de Colestiramina 140mg 14 Cápsulas Duras,7896422507264,Diclofenaco Colestiramina,Antirreumáticos NÃO Esteroidais Puros,Diclofenaco de Colestiramina,Sanofi Medley Farmacêutica Ltda.,"{""ean"":""7896422507264"",""dose"":""140mg 14 Cápsulas Duras"",""unidade"":""mg"",""forma_farmaceutica"":""CÁPSULAS DURAS"",""via_administracao"":""Oral"",""quantidade"":""14"",""volume"":null,""registro_ms"":""1832602460020"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Diclofenaco Colestiramina""],""legado"":{""produto_id"":645,""apresentacao_id"":806,""nome_normalizado"":""diclofenaco de colestiramina"",""tipo"":""medicamento""}}"
Albendazol 400mg 1 Comprimido Mastigável,7896422511728,Albendazol,Anti-helmínticos Exceto Esquistossomicidas (p1c),Albendazol,EMS S/A,"{""ean"":""7896422511728"",""dose"":""400mg 1 Comprimido Mastigável"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDO MASTIGÁVEL"",""via_administracao"":""Oral"",""quantidade"":""1"",""volume"":null,""registro_ms"":""1832601930015"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Albendazol""],""legado"":{""produto_id"":1033,""apresentacao_id"":1286,""nome_normalizado"":""albendazol"",""tipo"":""medicamento""}}"
Clomid 50mg 10 Comprimidos,7896422513098,Citrato de Clomifeno,Gonadotrofinas Incluindo Outros Estimulantes Para Ovulação,Clomid,Sanofi Medley Farmacêutica Ltda.,"{""ean"":""7896422513098"",""dose"":""50mg 10 Comprimidos"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDOS"",""via_administracao"":""Oral"",""quantidade"":""10"",""volume"":null,""registro_ms"":""1832602450017"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Citrato de Clomifeno""],""legado"":{""produto_id"":44,""apresentacao_id"":51,""nome_normalizado"":""clomid"",""tipo"":""medicamento""}}"
Adapaleno 1mg/g GEL 30 G,7896422515122,Adapaleno,Antiacneicos Tópicos,Adapaleno,Sanofi Medley Farmacêutica Ltda.,"{""ean"":""7896422515122"",""dose"":""1mg/g GEL 30 G"",""unidade"":""mg"",""forma_farmaceutica"":""GEL"",""via_administracao"":""Dermatológica"",""quantidade"":null,""volume"":null,""registro_ms"":""1832600390025"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Adapaleno""],""legado"":{""produto_id"":923,""apresentacao_id"":1143,""nome_normalizado"":""adapaleno"",""tipo"":""medicamento""}}"
Ácido Mefenâmico 500mg 12 Comprimidos,7896422516877,Ácido Mefenâmico,Antirreumáticos NÃO Esteroidais Puros,Ácido Mefenâmico,Sanofi Medley Farmacêutica Ltda.,"{""ean"":""7896422516877"",""dose"":""500mg 12 Comprimidos"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDOS"",""via_administracao"":""Oral"",""quantidade"":""12"",""volume"":null,""registro_ms"":""1832601000026"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Ácido Mefenâmico""],""legado"":{""produto_id"":860,""apresentacao_id"":1074,""nome_normalizado"":""acido mefenamico"",""tipo"":""medicamento""}}"
Alopurinol 100mg 30 Comprimidos,7896422516921,Alopurinol,Antigotosos,Alopurinol,Sandoz do Brasil Indústria Farmacêutica Ltda,"{""ean"":""7896422516921"",""dose"":""100mg 30 Comprimidos"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDOS"",""via_administracao"":""Oral"",""quantidade"":""30"",""volume"":null,""registro_ms"":""1832600350015"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Alopurinol""],""legado"":{""produto_id"":1094,""apresentacao_id"":1391,""nome_normalizado"":""alopurinol"",""tipo"":""medicamento""}}"
Alopurinol 300mg 30 Comprimidos,7896422516945,Alopurinol,Antigotosos,Alopurinol,Sandoz do Brasil Indústria Farmacêutica Ltda,"{""ean"":""7896422516945"",""dose"":""300mg 30 Comprimidos"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDOS"",""via_administracao"":""Oral"",""quantidade"":""30"",""volume"":null,""registro_ms"":""1832600350023"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Alopurinol""],""legado"":{""produto_id"":1094,""apresentacao_id"":1394,""nome_normalizado"":""alopurinol"",""tipo"":""medicamento""}}"
"Alprazolam 0,25mg 30 Comprimidos",7896422516990,Alprazolam,Tranquilizantes,Alprazolam,Multilab Industria E Comercio de Produtos Farmaceuticos Ltda,"{""ean"":""7896422516990"",""dose"":""0,25mg 30 Comprimidos"",""unidade"":""mg"",""forma_farmaceutica"":""COMPRIMIDOS"",""via_administracao"":""Oral"",""quantidade"":""30"",""volume"":null,""registro_ms"":""1832600590113"",""tarja"":""TARJA VERMELHA"",""origem_nome"":""farmaindex"",""origem_dados"":""farmaindex"",""farmacos"":[""Alprazolam""],""legado"":{""produto_id"":1100,""apresentacao_id"":1404,""nome_normalizado"":""alprazolam"",""tipo"":""medicamento""}}"
